Date and Time Started,2023-Mar-28 13:48:56
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,2.65625,5.37525,2.58582,5.55005,2.21642,5.78522,1.36259,5.78522,0.536258,5.50529,0.0631738,5.37525,0.00194123,5.33325,9.85478e-06,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.59554,1.58948e-07,5.29191,1.58948e-07,5.46125,4.76844e-07,5.29191,5.27708e-05,5.37525,0.0019797,5.33325,0.0249892,5.33325,0.151533,5.37525,0.47973,5.37525,1.01889,5.37525,1.53062,5.37525,2.01969,5.37525,2.41221,5.37525,2.6256,5.33325,2.67708,5.33325,2.66663,5.33325,2.66663
125,5.37525,2.61554,5.46125,2.40372,5.6888,1.77313,5.83467,0.863029,5.59554,0.161461,5.37525,0.00876122,5.33325,0.000103793,5.37525,6.35793e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.46125,1.58948e-07,5.46125,1.58948e-07,5.37525,1.58948e-07,5.33325,1.90738e-06,5.33325,0.000223163,5.33325,0.00561564,5.33325,0.0533534,5.37525,0.239529,5.37525,0.66213,5.33325,1.19345,5.37525,1.68974,5.37525,2.188,5.33325,2.52836,5.33325,2.64595,5.33325,2.66663,5.33325,2.66663,5.37525
123,2.65625,5.37525,2.53776,5.64179,2.07494,5.83467,1.25029,5.73661,0.379675,5.46125,0.0352666,5.33325,0.000823987,5.33325,7.15267e-06,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.59554,1.58948e-07,5.33325,1.58948e-07,5.41791,1.58948e-07,5.29191,1.41464e-05,5.37525,0.000812543,5.33325,0.0136438,5.33325,0.0973971,5.33325,0.381372,5.37525,0.85332,5.41791,1.39889,5.37525,1.89627,5.37525,2.3459,5.33325,2.59565,5.33325,2.66663,5.33325,2.66663,5.33325,2.67708
121,5.37525,2.59565,5.50529,2.33786,5.78522,1.63315,5.83467,0.673231,5.55005,0.12245,5.41791,0.00565172,5.33325,3.6876e-05,5.33325,9.53689e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.50529,1.58948e-07,5.37525,1.58948e-07,5.41791,1.58948e-07,5.33325,1.11264e-06,5.33325,9.12362e-05,5.33325,0.0026201,5.33325,0.0317751,5.37525,0.184004,5.37525,0.551864,5.37525,1.06499,5.37525,1.62151,5.37525,2.08763,5.37525,2.48239,5.33325,2.63574,5.37525,2.66663,5.37525,2.66663,5.33325
119,2.64595,5.46125,2.46446,5.6888,1.94489,5.88497,1.04702,5.64179,0.287313,5.41791,0.0232014,5.33325,0.000391807,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.55005,1.58948e-07,5.29191,1.58948e-07,5.46125,1.58948e-07,5.29191,5.08634e-06,5.33325,0.000343646,5.33325,0.00769945,5.33325,0.0650583,5.37525,0.280582,5.37525,0.750997,5.37525,1.29536,5.33325,1.81076,5.33325,2.26045,5.33325,2.57606,5.33325,2.65625,5.37525,2.66663,5.37525,2.66663
117,5.37525,2.58582,5.55005,2.21642,5.83467,1.5103,5.78522,0.615006,5.50529,0.0807113,5.37525,0.00279685,5.33325,2.24117e-05,5.33325,4.76844e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.50529,1.58948e-07,5.37525,1.58948e-07,5.37525,1.58948e-07,5.33325,3.17896e-07,5.33325,2.40012e-05,5.33325,0.00120848,5.37525,0.018164,5.33325,0.127743,5.37525,0.417017,5.37525,0.961488,5.37525,1.50697,5.37525,1.99025,5.37525,2.43806,5.33325,2.6256,5.37525,2.66663,5.33325,2.66663,5.33325
115,2.6256,5.46125,2.40372,5.73661,1.85002,5.88497,0.965568,5.64179,0.237859,5.41791,0.016067,5.33325,0.000243191,5.33325,3.17896e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.59554,1.58948e-07,5.33325,1.58948e-07,5.41791,1.58948e-07,5.2512,9.53689e-07,5.33325,0.000138762,5.37525,0.00389169,5.33325,0.0418474,5.37525,0.222654,5.33325,0.618909,5.41791,1.17903,5.37525,1.70664,5.33325,2.19504,5.33325,2.54722,5.37525,2.65625,5.33325,2.66663,5.37525,2.66663
113,5.37525,2.52836,5.59554,2.1603,5.83467,1.33071,5.83467,0.45209,5.46125,0.0547351,5.37525,0.00156453,5.37525,1.03316e-05,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.50529,1.58948e-07,5.41791,1.58948e-07,5.41791,1.58948e-07,5.29191,1.58948e-07,5.33325,8.9011e-06,5.37525,0.000595261,5.33325,0.0111852,5.37525,0.0854388,5.37525,0.354442,5.37525,0.829473,5.37525,1.39603,5.37525,1.93936,5.37525,2.36213,5.37525,2.60556,5.33325,2.66663,5.37525,2.66663,5.33325
111,2.61554,5.50529,2.33786,5.78522,1.72824,5.88497,0.796565,5.59554,0.161767,5.37525,0.00915589,5.33325,9.33026e-05,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.41791,1.58948e-07,5.59554,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.2512,3.17896e-07,5.29191,5.38834e-05,5.33325,0.00191262,5.29191,0.0245286,5.37525,0.154342,5.33325,0.508307,5.37525,1.04222,5.37525,1.62537,5.37525,2.12005,5.37525,2.49145,5.33325,2.63574,5.37525,2.66663,5.33325,2.66663
109,5.41791,2.49145,5.64179,2.04388,5.88497,1.20398,5.73661,0.395972,5.46125,0.0387719,5.33325,0.000852121,5.33325,3.33791e-06,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,1.58948e-07,5.50529,1.58948e-07,5.46125,1.58948e-07,5.37525,1.58948e-07,5.33325,1.58948e-07,5.33325,2.70212e-06,5.37525,0.000247959,5.33325,0.00586185,5.37525,0.0559371,5.37525,0.257218,5.37525,0.717076,5.37525,1.29783,5.37525,1.8351,5.33325,2.31409,5.37525,2.58582,5.33325,2.65625,5.33325,2.67708,5.33325
