Date and Time Started,2022-Apr-20 16:56:51
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-6
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,5.79751,2.63956,5.89132,2.32196,5.866,1.94697,5.95556,1.62151,5.94907,1.33136,5.84716,1.03708,5.85971,0.743331,5.69473,0.528679,5.6128,0.325442,5.48869,0.188651,5.45579,0.114004,5.36469,0.0531904,5.36996,0.0293558,5.33325,0.0145889,5.34892,0.013447,5.38585,0.00782534,5.32805,0.014121,5.6128,0.015226,5.48318,0.0289171,5.30218,0.0465426,5.32805,0.0811246,5.36996,0.141271,5.34369,0.221876,5.31767,0.335437,5.32286,0.523459,5.35417,0.684968,5.32805,0.88513,5.33325,1.17446,5.32805,1.5078,5.3125,1.79293,5.33847,2.10859,5.29191,2.42399,5.31767
125,2.86079,5.80984,2.55676,5.88497,2.09564,5.90405,1.79175,5.94907,1.50738,6.01459,1.14109,5.85343,0.882555,5.75474,0.566109,5.64179,0.372121,5.5557,0.229918,5.41791,0.124227,5.39649,0.0692048,5.36469,0.0346164,5.34369,0.023949,5.34369,0.0109572,5.35417,0.00666056,5.33847,0.00859973,5.43408,0.00983825,5.5557,0.0187368,5.27657,0.0276761,5.29704,0.0563961,5.32286,0.100155,5.32805,0.165618,5.31767,0.250252,5.30734,0.400062,5.3125,0.588117,5.32286,0.779066,5.32286,0.997853,5.32805,1.30496,5.30734,1.55724,5.30218,1.88644,5.33325,2.27173,5.35942,2.51092
123,5.90405,2.66532,5.82844,2.27363,5.90405,2.04695,5.95556,1.71199,6.01459,1.31596,5.93614,0.991152,5.866,0.721433,5.68288,0.461254,5.58982,0.273761,5.51085,0.166868,5.40183,0.0887979,5.36996,0.0464256,5.35417,0.0275985,5.36469,0.0180273,5.31767,0.0103965,5.32286,0.00805549,5.33325,0.00901172,5.65347,0.0137039,5.53318,0.0238079,5.24616,0.048736,5.3125,0.0735243,5.33325,0.127844,5.34369,0.209548,5.35942,0.31997,5.32805,0.481464,5.33325,0.646531,5.34369,0.88556,5.31767,1.14109,5.32286,1.37148,5.33847,1.73981,5.3125,2.10941,5.32286,2.40478,5.32286
121,2.81944,5.87231,2.41328,5.93614,2.09967,5.88497,1.67574,5.96858,1.46023,5.89132,1.07252,5.866,0.810756,5.73661,0.543516,5.65347,0.334083,5.50529,0.211161,5.46672,0.127358,5.38585,0.0709201,5.34892,0.0415096,5.32805,0.0188665,5.34369,0.0146576,5.34892,0.00727728,5.36996,0.00671143,5.40183,0.0104308,5.60703,0.0180336,5.28167,0.0302828,5.33325,0.0550444,5.31767,0.0921543,5.30218,0.147207,5.33847,0.251034,5.32805,0.362753,5.32805,0.545253,5.33847,0.671823,5.3125,1.02232,5.34369,1.27332,5.32805,1.59174,5.31767,1.92841,5.32805,2.22002,5.35942,2.62182
119,5.866,2.61054,5.87863,2.31802,5.97511,1.84626,6.02122,1.641,6.03453,1.26097,5.98821,0.922976,5.79751,0.668861,5.7126,0.459701,5.59554,0.263142,5.47219,0.149153,5.41254,0.0893573,5.34892,0.0505773,5.34892,0.0256441,5.33847,0.0196282,5.35942,0.00853234,5.32805,0.00726584,5.33847,0.00849292,5.64762,0.0116286,5.39649,0.0264261,5.26132,0.0381005,5.31767,0.0666285,5.35417,0.109984,5.30734,0.197008,5.33325,0.278294,5.3125,0.412606,5.33325,0.619822,5.33847,0.847757,5.30218,1.09686,5.32286,1.36123,5.34892,1.76911,5.31767,2.07101,5.3125,2.37652,5.36469
117,2.77503,5.91685,2.48804,5.88497,2.04235,5.9297,1.80776,6.03453,1.4274,5.96206,1.12906,5.9426,0.770384,5.70664,0.521161,5.64179,0.339398,5.49975,0.197214,5.41254,0.10423,5.39116,0.056021,5.36469,0.0302447,5.34369,0.0187953,5.3125,0.0132982,5.31767,0.00891254,5.32805,0.00756593,5.48869,0.0103482,5.5784,0.0184863,5.26639,0.0277765,5.33325,0.0516136,5.32286,0.0821902,5.33325,0.139538,5.34892,0.241499,5.33847,0.345758,5.32805,0.498062,5.31767,0.742926,5.35942,0.937554,5.32286,1.27689,5.36996,1.4897,5.35942,1.83633,5.32805,2.20301,5.32286,2.5846
115,5.9297,2.68103,5.97511,2.25578,5.9297,1.91892,5.95556,1.52976,5.98165,1.20717,5.90405,0.832254,5.78522,0.63012,5.68288,0.412045,5.56135,0.230666,5.49422,0.150855,5.43408,0.0763917,5.35942,0.0387795,5.34369,0.0200071,5.34892,0.0117177,5.28167,0.0116999,5.30218,0.00487017,5.34369,0.00720226,5.67108,0.0114379,5.43408,0.0177551,5.28167,0.0326111,5.30734,0.0590003,5.32805,0.10833,5.31767,0.173011,5.30734,0.272545,5.35417,0.381852,5.33847,0.586663,5.35942,0.792749,5.32286,1.09796,5.33847,1.39211,5.35942,1.68713,5.3125,2.05079,5.30218,2.40266,5.31767
113,2.81944,5.95556,2.4567,5.95556,2.07731,5.98165,1.7894,6.04121,1.32845,5.91044,1.06312,5.91044,0.727391,5.70664,0.535417,5.59554,0.293127,5.53879,0.180746,5.44492,0.109554,5.39649,0.0504692,5.35417,0.0327382,5.31767,0.0163907,5.33325,0.0100811,5.32805,0.00521731,5.32805,0.00812543,5.51641,0.00927876,5.64762,0.0124832,5.24112,0.0216843,5.30734,0.0410264,5.31767,0.078055,5.3125,0.132182,5.35417,0.218564,5.33325,0.311751,5.33847,0.477257,5.33847,0.631504,5.32805,0.910967,5.32805,1.18183,5.32805,1.5103,5.34369,1.87543,5.27148,2.14167,5.3125,2.48126
111,5.99479,2.67577,5.94907,2.25858,6.02122,1.89957,5.98165,1.55458,5.90405,1.1775,5.9297,0.87422,5.78522,0.555005,5.70664,0.383057,5.54442,0.246981,5.45579,0.132748,5.37525,0.0664823,5.35417,0.0436739,5.35417,0.0219628,5.34892,0.00976069,5.35942,0.00907403,5.35417,0.00645838,5.34369,0.00600824,5.6128,0.00976959,5.46125,0.0144745,5.30734,0.030883,5.29704,0.0575316,5.31767,0.0881828,5.33847,0.167883,5.30734,0.244351,5.30734,0.37048,5.31767,0.562146,5.35942,0.755569,5.34892,0.982593,5.33847,1.30871,5.33847,1.67883,5.30734,1.89824,5.3125,2.39214,5.32805
109,2.81363,5.98821,2.48918,5.99479,2.05774,6.01459,1.66451,6.03453,1.26389,5.90405,1.09951,5.83467,0.747195,5.70068,0.519871,5.58982,0.296276,5.47768,0.157849,5.41791,0.102436,5.38054,0.058348,5.38054,0.0322766,5.33325,0.0125976,5.31767,0.0106126,5.32805,0.00583022,5.33325,0.00550851,5.46125,0.00813687,5.5727,0.0129295,5.28679,0.0223786,5.30734,0.0432085,5.35417,0.0699626,5.33847,0.11641,5.35942,0.187917,5.32805,0.312143,5.32286,0.445998,5.33325,0.603053,5.33847,0.858957,5.35417,1.17903,5.32286,1.40972,5.33847,1.75152,5.30218,2.06241,5.34369,2.4556
